schoolname,state,countgroup,localegroup,bodyparts,prohibited
Hicksville High School,NY,1500+,suburb,[null],
Rusk High School,TX,500-999,rural,"[""midriff""]",none
may-Port Cg High School,ND,< 200,rural,"[""cleavage"",""midriff"",""torso""]",none
East High,UT,1500+,city,"[""midriff""]",none
North Fort Myers High School,FL,1500+,suburb,"[""midriff""]",none
Tomahawk High,WI,200-499,town,"[""midriff""]",none
Prior Lake High School,MN,1500+,suburb,[null],
Oologah-Talala High School,OK,500-999,rural,"[""back"",""chest"",""cleavage"",""midriff"",""torso""]",none
Judith Gap High School,MT,< 200,rural,"[""midriff""]",none
La Feria High School,TX,500-999,suburb,"[""midriff""]",female
Glasgow High School,MT,200-499,rural,"[""cleavage"",""midriff""]",none
Oakdale High,MD,1000-1500,suburb,"[""buttocks"",""midriff""]",none
Barnes County North High School,ND,< 200,rural,[null],
Fonda-Fultonville Senior High School,NY,200-499,rural,"[""midriff""]",none
Mohonasen Senior High School,NY,500-999,suburb,[null],
Dodgeville High,WI,200-499,town,"[""buttocks"",""midriff""]",none
Teague High School,TX,200-499,town,"[""cleavage"",""midriff""]",none
Arcadia High School,NY,1000-1500,suburb,"[""cleavage"",""midriff""]",none
Ravena-Coeymans-Selkirk Senior High School,NY,500-999,town,[null],
Northglenn High School,CO,1500+,suburb,"[""buttocks"",""cleavage"",""midriff""]",none
Park Vista Community High School,FL,1500+,suburb,"[""midriff""]",none
Lathrop High,CA,1000-1500,rural,"[""midriff""]",none
Del Mar High,CA,1000-1500,city,"[""midriff""]",none
Anamosa High School,IA,200-499,town,"[""midriff""]",none
Rio Rancho High,NM,1500+,suburb,"[""cleavage"",""midriff""]",none
Taconic High,MA,500-999,city,[null],
Latta High School,OK,200-499,rural,"[""midriff""]",none
Brookfield High,MO,200-499,rural,"[""midriff""]",none
Carmel High School,NY,1000-1500,suburb,[null],
Bremond High School,TX,< 200,rural,"[""midriff""]",none
Julian High,CA,< 200,rural,"[""cleavage"",""midriff""]",none
Red River High School,ND,1000-1500,city,[null],
Robertsdale High Sch,AL,1000-1500,town,"[""cleavage"",""midriff""]",none
Lathrop High School,AK,1000-1500,city,"[""cleavage"",""midriff""]",none
Athol High,MA,200-499,town,[null],
Savage High School,MT,< 200,rural,"[""back"",""chest"",""buttocks"",""cleavage"",""midriff""]",none
Beggs High School,OK,200-499,rural,"[""midriff"",""torso""]",none
Belton High School,TX,1500+,suburb,"[""midriff""]",none
Milton High,WI,1000-1500,suburb,"[""midriff""]",none
Southern Columbia High School,PA,200-499,rural,"[""cleavage"",""midriff""]",none
Como Park Senior High,MN,1000-1500,city,[null],
Elsberry High,MO,200-499,rural,"[""midriff""]",none
Port Jervis Senior High School,NY,500-999,rural,"[""midriff""]",none
Longmont High School,CO,1000-1500,suburb,"[""back"",""chest"",""buttocks"",""midriff""]",none
Elko High School,NV,1000-1500,town,"[""midriff""]",none
Ironton High School,OH,200-499,suburb,"[""cleavage"",""midriff""]",none
South Jefferson High School,NY,500-999,rural,"[""midriff""]",none
Simsbury High School,CT,1000-1500,suburb,"[""chest"",""midriff""]",none
Windthorst High School,TX,< 200,rural,"[""midriff""]",none
Northbridge High,MA,500-999,suburb,"[""midriff""]",none
Depew High School,NY,500-999,suburb,[null],
Amsterdam High School,NY,1000-1500,rural,[null],
Barbers Hill High School,TX,1500+,rural,"[""back"",""midriff""]",none
Louisiana High,MO,200-499,town,"[""midriff""]",none
Butler High School,OH,500-999,suburb,"[""back"",""midriff""]",none
Gateway High School,CO,1500+,city,"[""back"",""chest"",""buttocks"",""midriff""]",none
Pine Bush Senior High School,NY,1500+,rural,[null],
Coe-Brown Northwood Academy,NH,500-999,rural,"[""chest"",""buttocks"",""midriff""]",none
Dawson High School,MT,200-499,town,"[""cleavage"",""midriff"",""torso""]",none
Eleanor Roosevelt High School,NY,500-999,city,[null],
Hinton High School,OK,< 200,rural,"[""torso""]",none
Girard High School,PA,500-999,suburb,"[""midriff""]",none
Huntley Project High Schl,MT,200-499,rural,"[""midriff""]",none
Fruitvale High School,TX,< 200,rural,"[""midriff""]",female
Darlington High,WI,200-499,rural,"[""cleavage"",""midriff""]",none
Mounds High School,OK,< 200,rural,"[""back"",""midriff""]",none
Howe High School,OK,< 200,town,"[""back"",""chest"",""midriff""]",none
Oak Grove High,MO,500-999,suburb,"[""midriff""]",none
Mclouth High,KS,< 200,rural,"[""midriff""]",none
Tatum High School,TX,500-999,rural,"[""midriff""]",none
Cedar City High,UT,1000-1500,town,"[""cleavage"",""midriff""]",none
Hanover High,KS,< 200,rural,"[""midriff""]",none
Rice Lake High,WI,500-999,town,"[""torso""]",none
Daphne High Sch,AL,1000-1500,city,"[""cleavage"",""midriff""]",none
New London High,WI,500-999,rural,[null],
Lawson High,MO,200-499,rural,[null],
Elgin High School,OK,500-999,rural,"[""chest"",""cleavage"",""midriff""]",none
Akron Westfield Senior High School,IA,< 200,rural,"[""buttocks"",""cleavage"",""midriff""]",none
Martinsville High,VA,500-999,town,"[""cleavage"",""torso""]",none
Chillicothe High,MO,500-999,town,"[""midriff""]",none
Floyd High,NM,< 200,rural,"[""midriff""]",none
Berryville High School,AR,500-999,town,[null],
East Laurens High School,GA,500-999,rural,"[""midriff""]",none
Turners Fall High,MA,200-499,town,[null],
Henrietta High School,TX,200-499,rural,"[""back"",""midriff""]",female
Granbury High School,TX,1000-1500,town,"[""cleavage"",""midriff""]",none
Rainier Senior High School,WA,200-499,rural,"[""midriff""]",none
North Andrew High,MO,< 200,rural,"[""cleavage"",""midriff""]",none
Carrollton High School,GA,1000-1500,town,"[""midriff""]",none
Horn High School,TX,1500+,rural,[null],
Banks County High School,GA,500-999,rural,"[""back"",""chest"",""cleavage"",""midriff""]",none
Weatherford High School,TX,1500+,rural,"[""chest"",""cleavage"",""midriff""]",none
Amity Regional High School,CT,1000-1500,suburb,"[""back"",""chest"",""midriff""]",female
Cornwall Central High School,NY,1000-1500,rural,"[""torso""]",none
Central High School,IA,500-999,rural,"[""cleavage"",""midriff""]",none
